01MAS202412152025121350
5024001644  1SER  28610087081100R  2860E32C 0000000000000000000010000001000000000000010000000000000000000010000001000000100000010000001000000100000000000001000000100000010000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000191973XL113001001187LVE01                            
75    26N7AL  1191973XL 77113001001869974                     
52191973XL  1        286100      081100      10LVE   TGV2N2      1                   V1    0   
5219197300  2  2861  286100      081200      10LVE   TGV2N2      1             V1    V1    0   
5219116300  3  2861  286100      081500      10LVE   TGV2N2      1             V1    V1    0   
52191007EF  4  2861  286100      081600      10LVE   TGV2N2      1             V1    V1    0   
52191007P2  5  2861  286100      081800      10LVE   TGV2N2      1             V1    V1    0   
52191007JN  6  2861  286100      081930      10LVE   TGV2N2      1             V1    1VB   0   
52191007BV  7  2861  286100082000      08230011LVELVETGV2N2TGV2N211            1VBVB V1    0   
72B     0000000000000000000010000001000000000000010000000000000000000010000001000000100000010000001000000100000000000001000000100000010000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                1500000024520241217191710
74ATGV                           200 100000000000000000000100000010000000000000100000000000000000000100000010000001000000100000010000001000000000000010000001000000100000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001500000024520250317191930
52191007JS  8  2861  286100      082500      10LVE   TGV2N2      1             V1    V1    0   
52191007L7  9  2861  286100      082530      10LVE   TGV2N2      1             V1    V1    0   
52191015JN 10  2861  286100      082600      10LVE   TGV2N2      1             V1    V1    0   
5219101590 11  2861  286100      082630      10LVE   TGV2N2      1             V1    V1    0   
52191130P1 12  2861  286100      082730      10LVE   TGV2N2      1             V1    V1    0   
52191130P2 13  2861  286100      082830      10LVE   TGV2N2      1             V1    V1    0   
52191130BV 14  2861  286100      082900      10LVE   TGV2N2      1             V1    V1    0   
52191130KM 15  2861  286100      082900      10LVE   TGV2N2      1             V1    V1    0   
52191114BV 16  2861  286100      083130      10LVE   TGV2N2      1             V1    V1    0   
52191114P3 17  2861  286100      083200      10LVE   TGV2N2      1             V1    V1    0   
5219109800 18  2861  286100      083300      10LVE   TGV2N2      1             V1    V1    0   
52191106BV 19  2861  286100      083330      10LVE   TGV2N2      1             V1    V1    0   
52192088AN 20  2861  286100      083330      10LVE   TGV2N2      1             V1    V1    0   
52192088AM 21  2861  286100      083430      10LVE   TGV2N2      1             V1    V1    0   
52192088AP 22  2861  286100      083530      10LVE   TGV2N2      1             V1    V1    0   
52192088AS 23  2861  286100      083600      10LVE   TGV2N2      1             V1    V1    0   
52192088BV 24  2861  286100      083630      10LVE   TGV2N2      1             V1    V1    0   
52192070BV 25  2861  286100      083730      10LVE   TGV2N2      1             V1    V1    0   
52192039AM 26  2861  286100      084000      10LVE   TGV2N2      1             V1    V1    0   
52192039TN 27  2861  286100      084100      10LVE   TGV2N2      1             V1 V4 V2    0   
52192039BV 28  2861  286000084300      08500011LVELVETGV2N2TGV2N212            V2 V2 211   0   
721     0000000000000000000010000000000000000000010000000000000000000010000001000000100000010000001000000100000000000001000000100000010000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                1500000024520250117191847
726     0000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000AE                                                                                                                                                                                                                                                                                                                                                                                                              1500000024520250117191847
73D  55000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 420601500000024520241230191544
