01MAS202412152025121350
5024001649  5SER4105000087124500R410501MA1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000345314TR286377002187FRR05                   410506   
75    26KW76  1345314TR 38286377001518188                     
52345314TR  1      41050000            12450002   87B      75000  1      1980        TRI   0   
523453141P  241050041050000      124600      2087B   75000       1 1980        TRITRIV2    0   
52345314AT  341050041050000      124800      2087B   75000       1 1980        V2    V2    0   
5234530600  441050041050000      125300      2087B   75000       1 1980        V2    V2    0   
52345009SI  541050041050100      125800      2087B   75000       1 1980        V2 V1 V1X   0   
52345009AM  641050141050100      125900      2087B   75000       1 1980        V1X   V1X   0   
52345009BV  741050141050100      130100      2087B   75000       1 1980        V1XV8 V1    0   
5234500918  841050141050100      130200      2087B   75000       1 1980        V1    V1    0   
5234520700  941050141050100      130500      2087B   75000       1 1980        V1    V1    0   
5234522300 1041050141050100      130900      2087B   75000       1 1980        V1    V1    0   
5234524900 1141050141050100      131100      2087B   75000       1 1980        V1    V1    0   
52241760BE 1241050141050100      131100      2087B   75000       1 1980        V1    V1    0   
52241760BH 1341050141050100      131200      2087B   75000       1 1980        V1    V1    0   
52241760AN 1441050141050100      131200      2087B   75000       1 1980        V1    V1    0   
52345256BV 1541050141050100      131500      2087B   75000       1 1980        V1    V1    0   
5228650000 1641050141050100      131900      2087B   75000       1 1980        V1    V1    0   
52286518BV 1741050141050100132400      1356002287B87B75000 75000 111980  1980  V1 V3 V1    0   
5228652600 1841050141050100      140300      2087B   75000       1 1980        V1    V1    0   
52286534BV 1941050141050100      140700      2087B   75000       1 1980        V1    V1    0   
52286039SM 2041050141050100      140800      2087B   75000       1 1980        V1 V1 RV    0   
52286039P1 2141050141050100      140800      2087B   75000       1 1980        RV RV AH    0   
5228603924 2241050141050100      141000      2087B   75000       1 1980        AH    VM    0   
52286039P2 2341050141050100      141100      2087B   75000       1 1980        VM VM M1    0   
52286005PZ 2441050141050100      141200      2087B   75000       1 1980        M1    M1    0   
52286005M1 2541050141050100      141400      2087B   75000       1 1980        M1    M1    0   
52286005LO 2641050141050100      141400      2087B   75000       1 1980        M1    V1    0   
52286005VR 2741050141050100      141600      2087B   75000       1 1980        V1    V1    0   
52286187BV 2841050141050100      141800      2087B   75000       1 1980        V1    V1    0   
5228619500 2941050141050100      142000      2087B   75000       1 1980        V1    V1    0   
52286286BV 3041050141050100      142100      2087B   75000       1 1980        V1    V1    0   
52286286SA 3141050141050100      142100      2087B   75000       1 1980        V1    V1    0   
52286286RS 3241050141050100      142100      2087B   75000       1 1980        V1    V1    0   
522862864M 3341050141050100      142200      2087B   75000       1 1980        V1    V1    0   
52286286RN 3441050141050100      142200      2087B   75000       1 1980        V1    V1    0   
5228627800 3541050141050100      142500      2087B   75000       1 1980        V1    V1    0   
