01MAS202412152025121350
5024001664  7SER4212360087180800R421236MA1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000753434SO753004FR2187FRR05                            
75    26LGGZ  1753434SO 17753004FR1517805                     
52753434SO  1      42123600            18080002   87B      26000  1      3200        FSM   0   
52753434AI  242123642123600      181100      2087B   26000       1 3200        FSMFSMV2    0   
52753434P1  342123642123600      181100      2087B   26000       1 3200        V2    V2    0   
52929281NS  442123642123600      181600      2087B   26000       1 3200        V2    V2    0   
52929281PL  542123642123600      181700      2087B   26000       1 3200        V2 2RNV2B   0   
52929281VB  642123642123600      181900      2087B   26000       1 3200        V2BV2BV2    0   
5275342600  742123642123600      182000      2087B   26000       1 3200        V2    V2    0   
52753418BV  842123642123600      182300      2087B   26000       1 3200        V2    V2    0   
5242390500  942123642123600      182600      2087B   26000       1 3200        V2    V2    0   
52753004AS 1042123642123600      183200      2087B   26000       1 3200        V2    RSU   0   
52753004PA 1142123642123600      183300      2087B   26000       1 3200        RSU   RSU   0   
52753004A1 1242123642123600      183300      2087B   26000       1 3200        RSURSUV2    0   
52753004BV 1342123642123600      183300      2087B   26000       1 3200        V2    V2    0   
527530042B 1442123642123600      183400      2087B   26000       1 3200        V2    V2B   0   
52753004A2 1542123642123600      183500      2087B   26000       1 3200        V2B   V2B   0   
52753004SC 1642123642123600      183600      2087B   26000       1 3200        V2BV2BF17   0   
52753004FR 17421236      00184000            2087B   26000       1 3200        F17         0   
5024001664  8SER4212360087180800R421236MA1000011100001000000101010011001001110100111000011101001110100111010011101001110100111010011101001110100111000011101001110100111010011101001100100110010011101001110000110010011101001110100111010011101001110100111010011101001110100111010011101001110100111010011101001110100111010011101001110100111000011100001110100111010011100001110000011010011101001110100111010011101000000000000000000000000000000000000753434SO753004FR2187FRR05                            
75    26LGGZ  1753434SO 16753004FR1517805                     
52753434SO  1      42123600            18080002   87B      26000  1      3200        FSM   0   
52753434AI  242123642123600      181100      2087B   26000       1 3200        FSMFSMV2    0   
